question,daily_pool,vol24h,liq,mid,spread_c,max_c,min_size,dtr,bid_qual,ask_qual,cap_used,share_pct,daily_$,weekly_$,wk_ROC_%
Will the Democratic Party control the House after th,10.0,12817,450927,0.855,1.0,4.5,50,101.8,318551,131474,99.0,0.04,0.0,0.03,0.0
Will Ventuals launch a token by December 31 2026?,3.0,3515,5296,0.0345,0.5,4.5,30,161.0,119327,2685,89.55,0.15,0.0,0.03,0.0
"Will Base launch a token by September 30, 2026?",3.0,2065,34155,0.02,0.4,4.5,30,68.9,124329,9872,89.64,0.13,0.0,0.03,0.0
Will the Democratic Party control the Senate after t,10.0,15516,368269,0.435,1.0,4.5,50,101.8,144026,293502,99.0,0.05,0.0,0.03,0.0
Will Naftali Bennett be the next Prime Minister of I,2.0,4381,69249,0.07,2.0,5.5,50,159.8,104632,29697,98.0,0.15,0.0,0.02,0.0
Hantavirus pandemic in 2026?,100.0,10576,479987,0.0355,0.1,5.5,200,159.8,13615806,353166,199.8,0.0,0.0,0.02,0.0
Will Apple release iPhone 18 in 2026?,3.0,2932,18377,0.9675,0.1,4.5,50,159.8,5658,196886,99.9,0.1,0.0,0.02,0.0
Will the 2026 Midterm Elections happen as scheduled?,2.0,1747,57770,0.9615,0.3,4.5,50,159.8,37803,149788,99.7,0.11,0.0,0.01,0.0
Will China blockade Taiwan in 2026?,3.0,25028,36191,0.079,0.2,4.5,50,159.8,341878,4186,99.8,0.06,0.0,0.01,0.0
Will the Iranian regime fall by September 30?,50.0,129968,279431,0.0445,0.1,4.5,200,67.8,11718319,189191,199.8,0.0,0.0,0.01,0.0
"2026 Balance of Power: R Senate, R House",1.0,9043,201910,0.145,1.0,4.5,50,101.8,54831,57208,99.0,0.18,0.0,0.01,0.0
Will the US confirm that aliens exist by September 3,0.0,9885,147243,0.0275,0.1,3.5,200,67.8,514969,68289,199.8,0.07,0.0,0.0,0.0
"Will Bitcoin dip to $55,000 in July?",0.0,69717,59703,0.02,0.2,4.5,50,8.0,331581,30847,99.8,0.06,0.0,0.0,0.0
Will XRP reach $1.40 in July?,0.0,6548,7196,0.0215,0.3,4.5,50,7.9,23425,4069,99.7,0.72,0.0,0.0,0.0
"Will XRP reach $3.20 by December 31, 2026?",0.0,1343,4150,0.0395,1.9,3.5,20,161.0,6879,1252,98.1,2.4,0.0,0.0,0.0
Will Trump talk to Mojtaba Khamenei by December 31?,0.0,4885,13664,0.075,2.8,4.5,50,159.8,5526,10501,97.2,1.23,0.0,0.0,0.0
"Will Ethereum reach $2,100 in July?",0.0,11541,25838,0.105,1.0,4.5,50,8.0,28405,10095,99.0,0.52,0.0,0.0,0.0
"Will Bitcoin dip to $57,500 in July?",0.0,35123,56902,0.0355,0.5,4.5,50,8.0,180755,48942,99.5,0.09,0.0,0.0,0.0
Will Toy Story 5 be the top grossing movie of 2026?,1.0,2997,115323,0.0255,0.1,4.5,50,159.8,4077184,3546,99.9,0.0,0.0,0.0,0.0
"Will Bitcoin reach $72,500 in July?",0.0,122453,75191,0.043,0.4,4.5,50,8.0,572237,51812,99.6,0.03,0.0,0.0,0.0
"Will XRP reach $5.00 by December 31, 2026?",0.0,1375,32336,0.03,0.8,3.5,20,161.0,99496,15004,99.2,0.17,0.0,0.0,0.0
Will The Odyssey be the top grossing movie of 2026?,1.0,3350,64560,0.0345,0.1,4.5,50,159.8,5138132,4299,99.9,0.0,0.0,0.0,0.0
Will Ahmad Vahidi be head of state in Iran end of 20,0.0,24009,27185,0.029,0.4,4.5,100,159.8,2125953,3403,99.6,0.01,0.0,0.0,0.0
Will MicroStrategy announce bankruptcy before 2027?,0.0,2385,9864,0.039,0.2,3.5,20,159.8,28584,2961,99.8,0.63,0.0,0.0,0.0
"Putin out as President of Russia by June 30, 2027?",0.0,3957,55095,0.165,1.0,4.5,50,160.6,14963,18937,99.0,0.59,0.0,0.0,0.0
"Will Bitcoin reach $67,500 in July?",0.0,116380,46857,0.47,2.0,4.5,50,8.0,32821,23721,98.0,0.35,0.0,0.0,0.0
"Will Bitcoin reach $70,000 in July?",0.0,115417,76156,0.155,1.0,4.5,50,8.0,35262,36946,99.0,0.28,0.0,0.0,0.0
"Will Ethereum reach $2,300 in July?",0.0,3484,38562,0.018,0.4,4.5,50,7.9,198685,24207,99.6,0.09,0.0,0.0,0.0
Will Lando Norris be the 2026 F1 Drivers' Champion?,0.0,20994,266663,0.014,0.2,4.5,50,134.8,2416492,167679,99.8,0.01,0.0,0.0,0.0
"Will Bitcoin dip to $60,000 in July?",0.0,50385,54819,0.115,1.0,4.5,50,8.0,78874,33084,99.0,0.18,0.0,0.0,0.0
Will Kimi Antonelli get pole position at the 2026 F1,0.0,1879,4605,0.365,1.0,4.5,50,8.4,1170,3919,99.0,3.78,0.0,0.0,0.0
"Will Bitcoin reach $75,000 by December 31, 2026?",0.0,2283,29717,0.545,1.0,4.5,50,161.0,729,838,99.0,11.31,0.0,0.0,0.0
Will María Corina Machado be the leader of Venezuela,1.0,2350,65827,0.0315,0.7,4.5,50,159.8,300844,15571,99.3,0.06,0.0,0.0,0.0
